Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ist,Success,6,0,2018-02-08 11:07:24 +0530,2018-02-08 11:26:35 +0530,0:00:00
Master/LoginScript,Success,4,1,2018-02-08 09:24:13 +0530,2018-02-08 10:14:13 +0530,0:00:43
